#Compound	Isotopolog	m/z	Tolerance [mmu]	z
Molecular Average		90.05550	0.1	1
Molecular Average	D	91.06178	0.1	1
Molecular Average	D-D	92.06806	0.1	1
Molecular Average	D-D-D	93.07433	0.1	1
Molecular Average	D-D-D-D	94.08061	0.1	1
Molecular Average	D-D-D-D-D	95.08689	0.1	1
Molecular Average	15N	91.05254	0.1	1
Molecular Average	15N-D	92.05882	0.1	1
Molecular Average	15N-D-D	93.06509	0.1	1
Molecular Average	15N-D-D-D	94.07137	0.1	1
Molecular Average	15N-D-D-D-D	95.07765	0.1	1
Molecular Average	17O	91.05972	0.1	1
Molecular Average	17O-D	92.06600	0.1	1
Molecular Average	17O-D-D	93.07227	0.1	1
Molecular Average	17O-D-D-D	94.07855	0.1	1
Molecular Average	17O-D-D-D-D	95.08483	0.1	1
Molecular Average	17O-15N	92.05676	0.1	1
Molecular Average	17O-15N-D	93.06303	0.1	1
Molecular Average	17O-15N-D-D	94.06931	0.1	1
Molecular Average	17O-15N-D-D-D	95.07559	0.1	1
Molecular Average	18O	92.05975	0.1	1
Molecular Average	18O-D	93.06603	0.1	1
Molecular Average	18O-D-D	94.07230	0.1	1
Molecular Average	18O-D-D-D	95.07858	0.1	1
Molecular Average	18O-15N	93.05678	0.1	1
Molecular Average	18O-15N-D	94.06306	0.1	1
Molecular Average	18O-15N-D-D	95.06934	0.1	1
Molecular Average	17O-17O	92.06394	0.1	1
Molecular Average	17O-17O-D	93.07021	0.1	1
Molecular Average	17O-17O-D-D	94.07649	0.1	1
Molecular Average	17O-17O-D-D-D	95.08277	0.1	1
Molecular Average	17O-17O-15N	93.06097	0.1	1
Molecular Average	17O-17O-15N-D	94.06725	0.1	1
Molecular Average	17O-17O-15N-D-D	95.07353	0.1	1
Molecular Average	17O-18O	93.06397	0.1	1
Molecular Average	17O-18O-D	94.07024	0.1	1
Molecular Average	17O-18O-D-D	95.07652	0.1	1
Molecular Average	17O-18O-15N	94.06100	0.1	1
Molecular Average	17O-18O-15N-D	95.06728	0.1	1
Molecular Average	18O-18O	94.06399	0.1	1
Molecular Average	18O-18O-D	95.07027	0.1	1
Molecular Average	18O-18O-15N	95.06103	0.1	1
Molecular Average	13C	91.05886	0.1	1
Molecular Average	13C-D	92.06514	0.1	1
Molecular Average	13C-D-D	93.07141	0.1	1
Molecular Average	13C-D-D-D	94.07769	0.1	1
Molecular Average	13C-D-D-D-D	95.08397	0.1	1
Molecular Average	13C-15N	92.05589	0.1	1
Molecular Average	13C-15N-D	93.06217	0.1	1
Molecular Average	13C-15N-D-D	94.06845	0.1	1
Molecular Average	13C-15N-D-D-D	95.07472	0.1	1
Molecular Average	13C-17O	92.06308	0.1	1
Molecular Average	13C-17O-D	93.06935	0.1	1
Molecular Average	13C-17O-D-D	94.07563	0.1	1
Molecular Average	13C-17O-D-D-D	95.08191	0.1	1
Molecular Average	13C-17O-15N	93.06011	0.1	1
Molecular Average	13C-17O-15N-D	94.06639	0.1	1
Molecular Average	13C-17O-15N-D-D	95.07266	0.1	1
Molecular Average	13C-18O	93.06310	0.1	1
Molecular Average	13C-18O-D	94.06938	0.1	1
Molecular Average	13C-18O-D-D	95.07566	0.1	1
Molecular Average	13C-18O-15N	94.06014	0.1	1
Molecular Average	13C-18O-15N-D	95.06641	0.1	1
Molecular Average	13C-17O-17O	93.06729	0.1	1
Molecular Average	13C-17O-17O-D	94.07357	0.1	1
Molecular Average	13C-17O-17O-D-D	95.07985	0.1	1
Molecular Average	13C-17O-17O-15N	94.06433	0.1	1
Molecular Average	13C-17O-17O-15N-D	95.07060	0.1	1
Molecular Average	13C-17O-18O	94.06732	0.1	1
Molecular Average	13C-17O-18O-D	95.07360	0.1	1
Molecular Average	13C-17O-18O-15N	95.06436	0.1	1
Molecular Average	13C-18O-18O	95.06735	0.1	1
Molecular Average	13C-13C	92.06221	0.1	1
Molecular Average	13C-13C-D	93.06849	0.1	1
Molecular Average	13C-13C-D-D	94.07477	0.1	1
Molecular Average	13C-13C-D-D-D	95.08104	0.1	1
Molecular Average	13C-13C-15N	93.05925	0.1	1
Molecular Average	13C-13C-15N-D	94.06552	0.1	1
Molecular Average	13C-13C-15N-D-D	95.07180	0.1	1
Molecular Average	13C-13C-17O	93.06643	0.1	1
Molecular Average	13C-13C-17O-D	94.07271	0.1	1
Molecular Average	13C-13C-17O-D-D	95.07898	0.1	1
Molecular Average	13C-13C-17O-15N	94.06347	0.1	1
Molecular Average	13C-13C-17O-15N-D	95.06974	0.1	1
Molecular Average	13C-13C-18O	94.06646	0.1	1
Molecular Average	13C-13C-18O-D	95.07273	0.1	1
Molecular Average	13C-13C-18O-15N	95.06349	0.1	1
Molecular Average	13C-13C-17O-17O	94.07065	0.1	1
Molecular Average	13C-13C-17O-17O-D	95.07692	0.1	1
Molecular Average	13C-13C-17O-17O-15N	95.06768	0.1	1
Molecular Average	13C-13C-17O-18O	95.07068	0.1	1
Molecular Average	13C-13C-13C	93.06557	0.1	1
Molecular Average	13C-13C-13C-D	94.07184	0.1	1
Molecular Average	13C-13C-13C-D-D	95.07812	0.1	1
Molecular Average	13C-13C-13C-15N	94.06260	0.1	1
Molecular Average	13C-13C-13C-15N-D	95.06888	0.1	1
Molecular Average	13C-13C-13C-17O	94.06979	0.1	1
Molecular Average	13C-13C-13C-17O-D	95.07606	0.1	1
Molecular Average	13C-13C-13C-17O-15N	95.06682	0.1	1
Molecular Average	13C-13C-13C-18O	95.06981	0.1	1
Molecular Average	13C-13C-13C-17O-17O	95.07400	0.1	1
